stadium city,altitude,stadium ID
San Diego,14,1
Atlanta,939,2
New York,13,8
Cleveland,673,10
San Francisco,8,13
Minneapolis,840,14
St. Petersburg,41,18
Milwaukee,602,19
Arlington,549,21
Baltimore,35,22
Oakland,13,23
Chicago,594,25
London,23,26
Chicago,599,27
Anaheim,154,28
Pittsburgh,724,29
Los Angeles,501,31
Kansas City,886,33
New York,11,35
St. Louis,438,41
Toronto,268,42
Denver,5211,44
Boston,16,50
Philadelphia,19,51
Washington,23,53
Phoenix,1059,54
Miami,6,57
Detroit,602,62
Houston,20,63
Cincinnati,489,64
Seattle,17,65
Atlanta,1050,68
Omaha,1023,70
Dyersville,1007,79
Arlington,549,88
Buffalo,600,89
Dunedin,16,90
Milwaukee,602,92
Miami,6,93
Mexico City,7349,94
