team city,team,team key,stadium ID,stadium city,altitude,league,wins,runs scored,season
Minnesota,Twins,MIN,14,Minneapolis,840,AL,87,778,2023
Detroit,Tigers,DET,62,Detroit,602,AL,78,661,2023
Cleveland,Guardians,CLE,10,Cleveland,673,AL,76,662,2023
Chicago,White Sox,CHW,25,Chicago,594,AL,61,641,2023
Kansas City,Royals,KC,33,Kansas City,886,AL,56,676,2023
Baltimore,Orioles,BAL,22,Baltimore,35,AL,101,807,2023
Tampa Bay,Rays,TB,18,St. Petersburg,41,AL,99,860,2023
Toronto,Blue Jays,TOR,42,Toronto,268,AL,89,746,2023
New York,Yankees,NYY,35,New York,11,AL,82,673,2023
Boston,Red Sox,BOS,50,Boston,16,AL,78,772,2023
Texas,Rangers,TEX,88,Arlington,549,AL,90,881,2023
Houston,Astros,HOU,63,Houston,20,AL,90,827,2023
Seattle,Mariners,SEA,65,Seattle,17,AL,88,758,2023
Los Angeles,Angels,LAA,28,Anaheim,154,AL,73,739,2023
Oakland,Athletics,OAK,23,Oakland,13,AL,50,585,2023
Milwaukee,Brewers,MIL,92,Milwaukee,602,NL,92,728,2023
Chicago,Cubs,CHC,27,Chicago,599,NL,83,819,2023
Cincinnati,Reds,CIN,64,Cincinnati,489,NL,82,783,2023
Pittsburgh,Pirates,PIT,29,Pittsburgh,724,NL,76,692,2023
St. Louis,Cardinals,STL,41,St. Louis,438,NL,71,719,2023
Atlanta,Braves,ATL,68,Atlanta,1050,NL,104,947,2023
Philadelphia,Phillies,PHI,51,Philadelphia,19,NL,90,796,2023
Miami,Marlins,MIA,93,Miami,6,NL,84,666,2023
New York,Mets,NYM,8,New York,13,NL,75,717,2023
Washington,Nationals,WSH,53,Washington,23,NL,71,700,2023
Los Angeles,Dodgers,LAD,31,Los Angeles,501,NL,100,906,2023
Arizona,Diamondbacks,ARI,54,Phoenix,1059,NL,84,746,2023
San Diego,Padres,SD,1,San Diego,14,NL,82,752,2023
San Francisco,Giants,SF,13,San Francisco,8,NL,79,674,2023
Colorado,Rockies,COL,44,Denver,5211,NL,59,721,2023
Cleveland,Guardians,CLE,10,Cleveland,673,AL,92,698,2022
Chicago,White Sox,CHW,25,Chicago,594,AL,81,686,2022
Minnesota,Twins,MIN,14,Minneapolis,840,AL,78,696,2022
Detroit,Tigers,DET,62,Detroit,602,AL,66,557,2022
Kansas City,Royals,KC,33,Kansas City,886,AL,65,640,2022
New York,Yankees,NYY,35,New York,11,AL,99,807,2022
Toronto,Blue Jays,TOR,42,Toronto,268,AL,92,775,2022
Tampa Bay,Rays,TB,18,St. Petersburg,41,AL,86,666,2022
Baltimore,Orioles,BAL,22,Baltimore,35,AL,83,674,2022
Boston,Red Sox,BOS,50,Boston,16,AL,78,735,2022
Houston,Astros,HOU,63,Houston,20,AL,106,737,2022
Seattle,Mariners,SEA,65,Seattle,17,AL,90,690,2022
Los Angeles,Angels,LAA,28,Anaheim,154,AL,73,623,2022
Texas,Rangers,TEX,88,Arlington,549,AL,68,707,2022
Oakland,Athletics,OAK,23,Oakland,13,AL,60,568,2022
St. Louis,Cardinals,STL,41,St. Louis,438,NL,93,772,2022
Milwaukee,Brewers,MIL,92,Milwaukee,602,NL,86,725,2022
Chicago,Cubs,CHC,27,Chicago,599,NL,74,657,2022
