team city,team,team2,stadium ID,stadium city,away altitude,league,wins,runs scored
Minnesota,Twins,MIN,14,Minneapolis,840,AL,101,939
Cleveland,Guardians,CLE,10,Cleveland,673,AL,93,769
Chicago,White Sox,CHW,25,Chicago,594,AL,72,708
Kansas City,Royals,KCR,33,Kansas City,886,AL,59,691
Detroit,Tigers,DET,62,Detroit,602,AL,47,582
New York,Yankees,NYY,35,New York,11,AL,103,943
Tampa Bay,Rays,TBD,18,St. Petersburg,41,AL,96,769
Boston,Red Sox,BOS,50,Boston,16,AL,84,901
Toronto,Blue Jays,TOR,42,Toronto,268,AL,67,726
Baltimore,Orioles,BAL,22,Baltimore,35,AL,54,729
Houston,Astros,HOU,63,Houston,20,AL,107,920
Oakland,Athletics,OAK,23,Oakland,13,AL,97,843
Texas,Rangers,TEX,88,Arlington,549,AL,78,810
Los Angeles,Angels,ANA,28,Anaheim,154,AL,72,769
Seattle,Mariners,SEA,65,Seattle,17,AL,68,758
St. Louis,Cardinals,STL,41,St. Louis,438,NL,91,764
Milwaukee,Brewers,MIL,92,Milwaukee,602,NL,89,769
Chicago,Cubs,CHC,27,Chicago,599,NL,84,814
Cincinnati,Reds,CIN,64,Cincinnati,489,NL,75,701
Pittsburgh,Pirates,PIT,29,Pittsburgh,724,NL,69,758
Atlanta,Braves,ATL,68,Atlanta,1050,NL,97,855
Washington,Nationals,WSH,53,Washington,23,NL,93,873
New York,Mets,NYM,8,New York,13,NL,86,791
Philadelphia,Phillies,PHI,51,Philadelphia,19,NL,81,774
Miami,Marlins,MIA,93,Miami,6,NL,57,615
Los Angeles,Dodgers,LAD,31,Los Angeles,501,NL,106,886
Arizona,Diamondbacks,ARI,54,Phoenix,1059,NL,85,813
San Francisco,Giants,SFG,13,San Francisco,8,NL,77,678
Colorado,Rockies,COL,44,Denver,5211,NL,71,835
San Diego,Padres,SDP,1,San Diego,14,NL,70,682
