team city,team,team key,stadium ID
Los Angeles,Dodgers,LAD,31
Cincinnati,Reds,CIN,64
Toronto,Blue Jays,TOR,42
Pittsburgh,Pirates,PIT,29
Kansas City,Royals,KC,33
Chicago,Cubs,CHC,27
Cleveland,Guardians,CLE,10
Tampa Bay,Rays,TB,18
Philadelphia,Phillies,PHI,51
Seattle,Mariners,SEA,65
Arizona,Diamondbacks,ARI,54
San Francisco,Giants,SF,13
Chicago,White Sox,CHW,25
Detroit,Tigers,DET,62
New York,Mets,NYM,8
Baltimore,Orioles,BAL,22
Minnesota,Twins,MIN,14
Los Angeles,Angels,LAA,28
Miami,Marlins,MIA,93
Colorado,Rockies,COL,44
Oakland,Athletics,OAK,23
Boston,Red Sox,BOS,50
Atlanta,Braves,ATL,68
Texas,Rangers,TEX,88
New York,Yankees,NYY,35
Houston,Astros,HOU,63
St. Louis,Cardinals,STL,41
Milwaukee,Brewers,MIL,92
San Diego,Padres,SD,1
Washington,Nationals,WSH,53
